# One row per dispatched fleet member per run. DERIVED, NOT AUTHORED: every row
# is produced by skills/fleet/scripts/member-outcomes.mjs from the harness's own
# subagent transcripts. Re-running the scraper REPLACES rows in place, and the
# whole file may be regenerated when the role classifier changes.
#
# NEVER hand-edit a row, and never add a column that a human must fill. A
# hand-entered value cannot survive a regeneration, which is exactly why the
# verdicts live in tier-outcomes.tsv instead. See
# docs/specs/2026-08-27-fleet-member-outcomes-instrumentation-design.md.
#
# BLANK MEANS UNKNOWN, never zero and never "no". `effort` is blank for models
# that carry no effort control; `ticket`/`pr` are blank when the member name
# does not identify one (merge-bot's number is a WAVE).
#
# `agent` is an OPAQUE JOIN KEY — the member's transcript stem, relative to the
# session's subagents/ dir, used so a re-scrape REPLACES a row instead of
# duplicating it. It is not for display, not for grouping, and not domain data.
# Group on session, role, member and model. It is unique WITHIN A SESSION, which
# is all the key needs — it is NOT globally unique, because a NAMED member's
# stem is derived from its name and so repeats across sessions. Joining on
# `agent` alone merges unrelated members.
#
# THE POPULATION IS BOTH TRANSCRIPT DEPTHS. A directly-dispatched member writes
# subagents/agent-<id>.jsonl; a Workflow's fan-out writes
# subagents/workflows/wf_<id>/agent-<id>.jsonl. Both are scraped, and the nested
# half is roughly as large as the flat one. It is mostly review specialists, and
# workflows/review-pr.js pins model: "sonnet" on three of its six dimensions —
# so it is where model VARIES. Filtering it out silently re-creates the sampling
# bug this file was corrected for.
#
# SUPERSEDED GENERATIONS ARE A SEPARATE POPULATION. Rows carrying an older
# generation (claude-opus-4-7, claude-opus-4-8) must never be pooled with the
# current one under an "opus" label, and never read as a cheaper tier: pricing
# falls with each generation, so an older Opus is not cheaper than the current
# one and an older Sonnet is dearer. Pooling inverts the cost ordering this
# file exists to measure.
#
# TOKEN COLUMNS ARE PER-TURN, folded on the transcript's message.id. One
# assistant turn is written as several jsonl lines, one per content block, each
# repeating the same usage object — so summing per LINE overcounted
# cache_creation by 176% and `turns` by 141%, unevenly across models. board.mjs
# folds the same way; the two must not drift apart. `tokens_out` is the max
# across a turn's lines, because output_tokens is a streaming snapshot.
#
# There is no `errored` column. Transcript torn-ness is a property of WHEN the
# scraper ran, not of the member — it flips back on the next re-scrape — so it
# is reported on stderr and never stored. A member that stalled or hit a
# terminal API failure leaves a syntactically complete file and is
# indistinguishable here. Whether the work was any good is a verdict, and
# verdicts live in tier-outcomes.tsv, joined on `pr`.
#
# A within-run PAIR — the only unconfounded comparison — is a session+role that
# ran more than one model. Nothing is labelled; the pairing is a query:
#   awk -F'\t' '!/^#/ {k=$1 FS $3; if (!(k FS $5 in s)) {s[k FS $5]; n[k]++}} \
#     END{for (k in n) if (n[k] > 1) print k}' docs/metrics/member-outcomes.tsv
#
# Rows by model:
#   awk -F'\t' '!/^#/ {n[$5]++} END{for (k in n) print n[k], k}' docs/metrics/member-outcomes.tsv
#
# session	run_date	role	member	model	effort	ticket	pr	tokens_cache_create	tokens_out	wall_s	turns	agent
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	specialist	pr-review-toolkit:silent-failure-hunter	claude-opus-5	xhigh			76537	28712	635	21	agent-a0c86ee0aa2b8d1d2
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	specialist	pr-review-toolkit:silent-failure-hunter	claude-opus-5	xhigh			60039	26009	636	21	agent-a145ea6104e4bf7cb
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	specialist	pr-review-toolkit:comment-analyzer	claude-opus-5	xhigh			83435	31412	541	17	agent-a1f4198037ceb3115
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	specialist	pr-review-toolkit:pr-test-analyzer	claude-opus-5	xhigh			81523	28586	915	29	agent-a2de9e6b7c618eecc
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	specialist	pr-review-toolkit:type-design-analyzer	claude-opus-5	xhigh			79939	37259	735	27	agent-a2ea146462ad4c2f9
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	memory	memory-proxy	claude-haiku-4-5-20251001				24680	3970	73	9	agent-a2f49b0fc8d75ce4e
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	specialist	pr-review-toolkit:code-reviewer	claude-opus-5	xhigh			77738	30681	740	32	agent-a391a92bedfaf85ca
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	specialist	pr-review-toolkit:code-simplifier	claude-opus-5	xhigh			60484	11915	392	15	agent-a47dcad50756a39e4
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	specialist	pr-review-toolkit:comment-analyzer	claude-opus-5	xhigh			53484	22538	372	12	agent-a571b83cfc2a8f932
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	specialist	pr-review-toolkit:pr-test-analyzer	claude-opus-5	xhigh			66141	25028	575	20	agent-a5ba0f26fe2681f16
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	specialist	general-purpose	claude-opus-5	xhigh			40678	15190	365	16	agent-a61e794e6907b0c4e
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	specialist	pr-review-toolkit:code-reviewer	claude-opus-5	xhigh			42876	17767	283	9	agent-a6b3ea78242b18c35
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	specialist	pr-review-toolkit:pr-test-analyzer	claude-opus-5	xhigh			113377	37365	1609	48	agent-a6cfa76e7b4f767bc
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	specialist	pr-review-toolkit:code-simplifier	claude-opus-5	xhigh			57895	22762	603	20	agent-a737b041618224d4f
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	specialist	pr-review-toolkit:type-design-analyzer	claude-opus-5	xhigh			62855	20720	450	13	agent-a800f47e9bb11e466
